Depth,qc,fs,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
4.12,1.336,0.03,1.336,0.03,0.608,126.19103582445116,153.62386969933186,241.7285962638208,151.62654608568732,175.40749756070997,101.9709447891748,243.2682785710456,2.697623507121923,218.0
4.13,1.362,0.032,1.362,0.032,0.596,127.314089514031,154.9910654953421,243.27464199114848,153.52848871653077,180.34390851317733,102.87287779033946,245.50340857526388,2.70418455167756,218.0
4.14,1.396,0.033,1.396,0.033,0.578,128.1986827130078,156.0679615636617,245.22868848409115,154.6495869763119,182.48616485327327,103.57240838606064,246.68333205559745,2.7000346293217152,218.0
4.15,1.404,0.034,1.404,0.034,0.578,128.71562188835864,156.6972788206105,245.7823547402048,155.51884289464823,184.901512995438,103.98454780016496,247.80422099170497,2.7048945506994926,218.0
4.16,1.404,0.034,1.404,0.034,0.596,128.8454856802309,156.8553738715854,246.0632408393966,155.55782637561586,184.82204307869097,104.05414440930276,247.955156225284,2.704228226102852,218.0
4.17,1.387,0.036,1.387,0.036,0.536,129.059571213908,157.11599973867064,244.3210900833644,156.7756084839989,190.23663095930164,104.43540715946348,249.9337286185621,2.730913044812688,218.0
4.18,1.379,0.038,1.379,0.038,0.543,129.60390773390958,157.7786702847595,243.9661209706987,158.17145511234267,195.2429618434733,104.88759372913454,251.83842686878015,2.7479155331428005,218.0
4.19,1.353,0.039,1.353,0.039,0.467,129.25989891552797,157.35987694064275,241.419704716894,158.4331369823237,198.2969602828012,104.89591279082296,252.80747198940355,2.772551612635882,218.0
4.2,1.328,0.039,1.328,0.039,0.462,128.88170342328092,156.89946503703766,239.80923604610905,158.13930143701526,198.68185294092828,104.68392820508846,252.9250768059362,2.784553134948287,218.0
4.21,1.285,0.04,1.285,0.04,0.425,128.32375933387695,156.220228754285,236.57809829616056,158.25449394029295,201.935299674062,104.47713994644567,253.8497895365258,2.8141334192641985,218.0
4.22,1.235,0.041,1.235,0.041,0.412,127.67810716072232,155.43421741305326,233.12101789792752,158.30554997494198,205.27192950243452,104.16355328666464,254.74404606105887,2.845553620911925,218.0
4.23,1.201,0.041,1.201,0.041,0.392,127.01818414422571,154.63083287123132,230.5830996684869,157.8279824650802,205.94544687086056,103.81394583038104,254.84398526387383,2.8646051497917173,218.0
4.24,1.158,0.041,1.158,0.041,0.366,126.12979072897907,153.5493104526702,227.27836679341848,157.20594547228515,206.8539495736319,103.33813606427016,254.9274852340129,2.8893912237517405,218.0
