Lag (m),Fitted_Semivariance
4.28,0.026583240930161817
4.3,0.026601662553625505
4.32,0.026620084177089193
4.34,0.02663850580055288
4.36,0.026656927424016572
4.38,0.02667534904748026
4.4,0.02669377067094395
4.42,0.026712192294407636
4.44,0.026730613917871328
4.46,0.026749035541335016
4.48,0.026767457164798704
4.5,0.026785878788262392
4.5200000000000005,0.02679867422366841
4.54,0.02681146965907443
4.5600000000000005,0.026824265094480448
4.58,0.026837060529886467
4.6000000000000005,0.026849855965292487
4.62,0.026862651400698507
4.64,0.026875446836104523
4.66,0.026888242271510543
4.68,0.026901037706916563
4.7,0.026913833142322582
4.72,0.0269266285777286
4.74,0.02693942401313462
4.76,0.026952219448540638
4.78,0.026965014883946658
4.8,0.026977810319352674
4.82,0.026990605754758694
4.84,0.027003401190164714
4.86,0.027016196625570733
4.88,0.02702899206097675
4.9,0.02704178749638277
4.92,0.02705458293178879
4.94,0.02706737836719481
4.96,0.027080173802600825
4.98,0.027092969238006845
5.0,0.027105764673412865
5.0200000000000005,0.027114652227083275
5.04,0.027123539780753683
5.0600000000000005,0.027132427334424093
5.08,0.0271413148880945
5.1000000000000005,0.02715020244176491
5.12,0.027159089995435322
5.14,0.02716797754910573
5.16,0.02717686510277614
5.18,0.027185752656446547
5.2,0.027194640210116958
5.22,0.02720352776378737
5.24,0.027212415317457776
5.26,0.027221302871128186
5.28,0.027230190424798593
5.3,0.027239077978469004
5.32,0.027247965532139415
5.34,0.027256853085809822
5.36,0.027265740639480233
5.38,0.02727462819315064
5.4,0.02728351574682105
5.42,0.02729240330049146
5.44,0.02730129085416187
5.46,0.02731017840783228
5.48,0.027319065961502687
5.5,0.027327953515173097
5.5200000000000005,0.02733412670176175
5.54,0.027340299888350402
5.5600000000000005,0.027346473074939055
5.58,0.027352646261527707
5.6000000000000005,0.02735881944811636
5.62,0.027364992634705012
5.64,0.027371165821293664
5.66,0.027377339007882317
5.68,0.02738351219447097
5.7,0.027389685381059622
5.72,0.027395858567648274
5.74,0.027402031754236927
5.76,0.02740820494082558
5.78,0.02741437812741423
5.8,0.027420551314002884
5.82,0.027426724500591537
5.84,0.02743289768718019
5.86,0.02743907087376884
5.88,0.027445244060357494
5.9,0.027451417246946146
5.92,0.0274575904335348
5.94,0.02746376362012345
5.96,0.027469936806712104
5.98,0.027476109993300756
6.0,0.02748228317988941
6.0200000000000005,0.027486571000145864
6.04,0.02749085882040232
6.0600000000000005,0.027495146640658778
6.08,0.027499434460915233
