Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
0.3,1.9558,0.0369,-0.0018,94.0778040571062,114.52950059125972,208.65738175258613,90.21894937435748,106.09886286971783,52.90192065884076,129.16375474693297,2.457893067274913,569
0.31,1.8667,0.0369,-0.0013,93.7192456085724,114.09299465391425,205.6437528021392,90.47771819343605,107.41425913366896,53.02910461883806,130.19480127768352,2.486397004685412,569
0.32,1.8085,0.0344,-0.0012,92.9501621985634,113.15671919825108,203.81064087138955,89.80688078273322,105.04256674983736,52.94655815457477,130.02278211347465,2.487301879170925,569
0.33,1.8085,0.0344,-0.0011,93.30768240433792,113.59196118788964,204.4333388582197,90.49751841952212,105.85217927219315,53.401433450163616,131.03898990384155,2.487353512166576,569
0.34,1.7194,0.03,-0.0003,91.6501810693362,111.57413347571364,201.1258812942541,88.62386180614602,100.5266037380291,52.85235007220255,129.65565806249717,2.4827126255817062,569
0.35,1.6922,0.0287,-0.0007,91.3506060553771,111.20943345871994,200.4753168801909,88.45636359383886,99.35774592834284,52.96268331919554,129.8446797945501,2.4812132525653543,569
0.36,1.6612,0.0281,0.0008,91.20512470610888,111.03232572917604,199.6339741080179,88.57879468774908,99.24654893516164,53.14388499476819,130.39688953005725,2.487057236833381,569
0.37,1.6457,0.0278,0.0002,91.27810455092754,111.12117075765092,199.4551759336307,88.92453503279897,99.5117790025336,53.43036201277585,131.11174875981612,2.4901508359030684,569
0.38,1.6225,0.0277,-0.0002,91.32729088031915,111.18104976734509,198.8970747349701,89.30745683486072,100.12134678602858,53.701953141554,131.92367536409012,2.497970112446723,569
0.39,1.6225,0.0285,-0.0003,91.86528322344412,111.8359969676711,199.40827232750175,90.29086550922209,102.07199494505844,54.219125021119645,133.28592785149715,2.505259469051232,569
0.4,1.5837,0.0293,-0.0003,92.00369635148928,112.00449990616086,198.06879534881944,91.00555235963937,104.2265915781138,54.537272341631535,134.60193506675242,2.527130380021531,569
0.41,1.5837,0.0293,-0.0002,92.28822392081707,112.35088129490777,198.5545383035519,91.56055308604634,104.86422017589145,54.9129338705233,135.44545653952832,2.527188355421766,569
0.42,1.5295,0.0314,-0.0002,92.58918057360349,112.71726330699556,196.3986938474475,92.77873293896482,109.23234793766004,55.32245087774231,137.4701309267899,2.566347173039858,569
0.43,1.5217,0.0337,-0.0001,93.38596148591334,113.6872574611119,196.47361792276584,94.36507606859271,113.61125303602329,55.971986057918805,139.562389540585,2.588008200202573,569
0.44,1.5217,0.0337,0.0004,93.65594402441832,114.01593185581363,196.92623710312728,94.9061048903233,114.26372385831291,56.330853392614046,140.3764982560792,2.588037177256175,569
0.45,1.4558,0.039,0.0016,94.44030280926688,114.97080341997707,194.0674542872018,97.33058829838464,123.67068534498294,57.01063931453349,143.83609138742096,2.654062866099279,569
0.46,1.4209,0.041,0.0058,94.72436578647188,115.31661921831362,192.7396310651848,98.44725760607108,127.68136418438418,57.39772859640903,145.5554121054277,2.682227775089004,569
0.47,1.4132,0.043,0.0064,95.30478128269192,116.02321199632064,192.75649562983355,99.7407667543128,131.46312702078382,57.92529201801605,147.2525822996701,2.6986093271441463,569
0.48,1.4127,0.0449,0.0061,95.9336136003311,116.78874699170744,193.129458489754,101.02658928851648,135.01251163666376,58.47180834902488,148.8730830549187,2.710834643119878,569
0.49,1.4127,0.0476,0.0076,96.709689892187,117.7335355209233,193.53978247302268,102.6054646252105,139.70520851922154,59.09366181571031,150.79211655084268,2.7269828374727,569
0.5,1.4129,0.0476,0.0092,96.96148694990622,118.04007106945105,193.95449831270116,103.13608823126437,140.42063709691425,59.42769783850816,151.56498990097606,2.726833056895088,569
0.51,1.4132,0.0496,0.0062,97.57231935059076,118.78369312245836,194.31936832667805,104.41109738604156,144.06425138196167,59.962072289548544,153.14369971172562,2.738543525626412,569
0.52,1.4132,0.0496,0.005,97.80688960801604,119.0692569141065,194.6806651966127,104.92478939432075,144.78184672632435,60.28663646674165,153.8979114813278,2.738724799482777,569
0.53,1.3977,0.0518,0.0047,98.23129347358444,119.58592248958104,194.22553849764645,106.1193438287323,148.8493775737195,60.728911341670425,155.50361248729945,2.757823982576656,569
0.54,1.3977,0.0518,0.006,98.46527467977036,119.8707691753726,194.59910679485023,106.62695104333282,149.55953261592933,61.0453051892589,156.24074774497328,2.75778728183774,569
