Depth,qc,fs_corrected,u
4.39,1.013,0.021,0.326
4.4,1.013,0.02,0.33
4.41,1.021,0.02,0.332
4.42,1.021,0.02,0.334
4.43,1.021,0.02,0.336
4.44,1.021,0.02,0.34
4.45,1.013,0.021,0.343
4.46,1.021,0.02,0.346
4.47,1.021,0.02,0.349
4.48,1.021,0.019,0.351
4.49,1.03,0.019,0.354
4.5,1.038,0.0195,0.356
4.51,1.047,0.02,0.359
4.52,1.055,0.02,0.36
4.53,1.064,0.02,0.361
4.54,1.064,0.02,0.364
4.55,1.064,0.019,0.364
4.56,1.064,0.019,0.368
4.57,1.064,0.018,0.37
4.58,1.064,0.018,0.373
4.59,1.055,0.018,0.376
4.6,1.055,0.018,0.377
4.61,1.047,0.017,0.379
4.62,1.047,0.016,0.379
4.63,1.03,0.016,0.382
4.64,1.03,0.015,0.386
4.65,1.021,0.015,0.386
4.66,1.021,0.015,0.387
4.67,1.013,0.014,0.386
4.68,1.017,0.014,0.394
4.69,1.021,0.014,0.402
4.7,1.004,0.013,0.403
4.71,0.996,0.013,0.406
4.72,0.987,0.011,0.408
4.73,0.987,0.012,0.408
4.74,0.979,0.013,0.41
4.75,0.979,0.012,0.41
4.76,0.979,0.011,0.411
4.77,0.97,0.011,0.413
4.78,0.962,0.01,0.413
4.79,0.953,0.01,0.416
4.8,0.953,0.01,0.417
4.81,0.945,0.009,0.417
4.82,0.945,0.01,0.417
4.83,0.936,0.01,0.417
4.84,0.928,0.009,0.417
4.85,0.92,0.01,0.418
4.86,0.911,0.009,0.419
4.87,0.894,0.008,0.42
4.88,0.894,0.008,0.42
4.89,0.877,0.009,0.422
4.9,0.877,0.008,0.423
4.91,0.869,0.009,0.422
4.92,0.86,0.008,0.423
4.93,0.86,0.007,0.425
4.94,0.852,0.008,0.423
4.95,0.852,0.008,0.424
4.96,0.852,0.007,0.426
4.97,0.852,0.008,0.422
4.98,0.852,0.007,0.425
4.99,0.852,0.008,0.426
5.0,0.852,0.008,0.427
5.01,0.852,0.008,0.427
5.02,0.86,0.008,0.427
5.03,0.869,0.007,0.424
5.04,0.877,0.007,0.422
5.05,0.886,0.008,0.408
5.06,0.886,0.008,0.405
5.07,0.886,0.009,0.402
5.08,0.894,0.008,0.402
5.09,0.894,0.009,0.398
5.1,0.894,0.008,0.4
5.11,0.903,0.007,0.402
5.12,0.903,0.007,0.404
5.13,0.911,0.009,0.407
5.14,0.92,0.009,0.408
5.15,0.911,0.009,0.412
5.16,0.92,0.009,0.416
5.17,0.92,0.009,0.421
5.18,0.928,0.009,0.421
5.19,0.928,0.01,0.425
5.2,0.928,0.01,0.429
5.21,0.936,0.01,0.432
5.22,0.945,0.01,0.435
5.23,0.945,0.011,0.437
5.24,0.953,0.011,0.439
5.25,0.962,0.012,0.44
5.26,0.97,0.011,0.44
5.27,0.97,0.011,0.44
5.28,0.97,0.012,0.427
5.29,0.979,0.011,0.423
5.3,0.979,0.012,0.428
