Depth,Qc,Fs,u
5.78,0.765,0.0292,0.1127
5.79,0.773,0.0281,0.121
5.8,0.79,0.0269,0.1286
5.81,0.79,0.0258,0.1319
5.82,0.79,0.0258,0.1394
5.83,0.782,0.0253,0.1469
5.84,0.773,0.0253,0.1503
5.85,0.756,0.0253,0.1561
5.86,0.748,0.0241,0.1586
5.87,0.731,0.0236,0.1636
5.88,0.722,0.0229,0.1678
5.89,0.722,0.0223,0.1695
5.9,0.713,0.0223,0.1728
5.91,0.705,0.0212,0.177
5.92,0.696,0.0218,0.1853
5.93,0.696,0.0201,0.1895
5.94,0.688,0.0195,0.2004
5.95,0.696,0.0195,0.2045
5.96,0.722,0.019,0.217
5.97,0.782,0.0195,0.2312
5.98,0.851,0.0201,0.2388
5.99,0.876,0.0201,0.2529
6,0.859,0.0201,0.2571
6.01,0.842,0.0196,0.2596
6.02,0.851,0.023,0.2571
6.03,0.833,0.0213,0.2546
6.04,0.833,0.0213,0.2379
6.05,0.833,0.0224,0.217
6.06,0.825,0.0219,0.2054
6.07,0.816,0.0224,0.2037
6.08,0.799,0.0224,0.2079
6.09,0.773,0.0224,0.2145
6.1,0.756,0.0236,0.2229
6.11,0.731,0.0236,0.3606
6.12,0.739,0.0241,0.2913
6.13,0.731,0.0236,0.3147
6.14,0.722,0.0224,0.3181
6.15,0.722,0.023,0.3206
6.16,0.713,0.023,0.3314
6.17,0.713,0.0201,0.3381
6.18,0.713,0.0207,0.3506
6.19,0.713,0.0207,0.3606
6.2,0.713,0.0207,0.3656
6.21,0.713,0.0201,0.3732
6.22,0.722,0.0207,0.3757
6.23,0.731,0.0201,0.3832
6.24,0.739,0.0201,0.3907
6.25,0.739,0.0207,0.3949
6.26,0.748,0.0201,0.4049
6.27,0.756,0.0212,0.4132
6.28,0.773,0.0218,0.4149
6.29,0.782,0.0218,0.4182
6.3,0.79,0.0224,0.4257
6.31,0.799,0.0229,0.4274
6.32,0.808,0.0229,0.4157
6.33,0.816,0.0241,0.4057
6.34,0.825,0.0241,0.4015
6.35,0.833,0.0241,0.3865
6.36,0.825,0.0252,0.3815
6.37,0.825,0.0258,0.374
6.38,0.825,0.0258,0.364
6.39,0.816,0.0263,0.3606
6.4,0.808,0.0258,0.3514
6.41,0.808,0.0252,0.3506
6.42,0.799,0.0252,0.3514
6.43,0.799,0.0258,0.3556
6.44,0.782,0.0258,0.3598
6.45,0.765,0.0247,0.3656
6.46,0.765,0.0252,0.379
6.47,0.765,0.0247,0.3907
6.48,0.765,0.0247,0.384
6.49,0.773,0.0241,0.3798
6.5,0.765,0.023,0.3782
6.51,0.765,0.0235,0.3782
6.52,0.765,0.023,0.379
6.53,0.765,0.023,0.379
6.54,0.756,0.023,0.379
6.55,0.756,0.023,0.3823
6.56,0.756,0.0224,0.3815
6.57,0.756,0.0235,0.3823
6.58,0.756,0.0235,0.3823
6.59,0.756,0.0219,0.384
6.6,0.756,0.0219,0.384
6.61,0.748,0.0219,0.3882
6.62,0.748,0.0219,0.3898
6.63,0.748,0.0219,0.3898
6.64,0.739,0.0219,0.3848
6.65,0.739,0.0213,0.3823
6.66,0.739,0.0213,0.3807
6.67,0.731,0.0219,0.3815
6.68,0.731,0.0219,0.3823
6.69,0.731,0.0213,0.3848
6.7,0.722,0.0213,0.3873
6.71,0.722,0.0213,0.3907
6.72,0.722,0.0213,0.3965
6.73,0.722,0.0213,0.3999
6.74,0.722,0.0207,0.4024
6.75,0.722,0.0202,0.4057
6.76,0.722,0.0202,0.4074
6.77,0.722,0.0202,0.4082
6.78,0.713,0.0207,0.4099
6.79,0.713,0.0191,0.4107
6.8,0.722,0.0196,0.4065
6.81,0.713,0.0202,0.4024
6.82,0.713,0.0202,0.4024
