File Name,Start Depth,End Depth,Depth,Measured Vs,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
SDMT_92546.csv,3.0,3.5,3.25,149.0,1.519499100832001,0.015213784374813648,113.36623465616472,138.01106827707014,240.42264750192763,134.8283967291971,131.3455555475227,91.85577533606565,209.80877953434577,2.4270694309889693
SDMT_92546.csv,3.5,4.0,3.75,190.0,2.806287759348072,0.03236530017854901,137.7975688303073,167.75356205428707,307.37935575224407,163.22039282628893,171.1091089693294,111.17709478297026,241.09483901281925,2.2675838725843143
SDMT_92546.csv,4.0,4.5,4.25,169.0,3.7717156374831187,0.024277073500507534,145.05230297925542,176.58541232257187,348.53690065621953,162.4533832823367,147.83060008555438,117.29807617485896,240.2653634662184,2.074089771563967
SDMT_92546.csv,4.5,5.0,4.75,146.0,3.014898749012909,0.0216280229783983,141.76043039924284,172.57791526864338,323.56345334724085,156.73741064054673,143.58589620389012,116.03186657569894,243.04991110021237,2.1946113487058447
SDMT_92546.csv,5.0,5.5,5.25,220.0,3.9581868785699945,0.026981237836222742,153.71157516985457,187.12713498938825,362.56261817575825,169.03849703887707,156.2411563915068,126.38017223067344,257.0829438132318,2.102961945481344
SDMT_92546.csv,5.5,6.0,5.75,175.0,4.1964649579625775,0.03291769706465001,162.3527547471418,197.64683186608573,374.15266435034,174.99070902240285,165.58877603699423,132.89364811205965,270.0850941523621,2.1500249794080006
SDMT_92546.csv,6.0,6.5,6.25,227.0,8.811476912170683,0.055843815332058684,191.4452567127944,233.06379078079289,500.76439167835065,208.62954551318464,196.0134868019238,158.13555893343886,297.09834656869583,1.847367292008484
SDMT_92546.csv,6.5,7.0,6.75,291.0,15.057825581793207,0.07326707319609382,210.42335207827702,256.1675590518154,619.3091768291833,234.17397338876503,212.89358775097858,178.4975921620392,315.07984430347545,1.6074918777908191
SDMT_92546.csv,7.0,7.5,7.25,289.0,16.702762049854275,0.07467467528358597,215.51866979569445,262.3705545338891,648.9183229561489,239.7996063249411,213.6334157486093,185.11407384450078,321.8761750769277,1.562460407670491
SDMT_92546.csv,7.5,8.0,7.75,241.0,19.960215392074733,0.09243180798472934,227.52114592442743,276.9822646036514,699.2269728241838,255.33214449248626,232.32558766778217,196.93902639951028,337.0086959179926,1.5211151317644835
SDMT_92546.csv,8.0,8.5,8.25,286.0,20.54595365439238,0.10358190421737061,235.43489526230644,286.61639423237347,711.3884593422365,262.68493945764425,244.8244974389624,203.14282109041602,347.56836297475013,1.5463531180908328
SDMT_92546.csv,8.5,9.0,8.75,261.0,15.928420519049977,0.06988233441911475,224.60656926535387,273.4340843230391,649.236532536295,241.28227864103434,211.885015605822,192.66639610477054,334.55988404873955,1.6266610825684302
SDMT_92546.csv,9.0,9.5,9.25,208.0,11.275364660602758,0.035616851808958995,205.7185784513027,250.44000854941186,572.0917296363623,210.90895286162342,166.31951096047263,176.0432787450124,310.04290788122375,1.702873811321886
SDMT_92546.csv,9.5,10.0,9.75,240.0,7.760312711053678,0.04347984521531525,206.90045452814243,251.878814208173,498.49025331368944,203.68997428442117,179.04196894657764,172.11013530545654,321.5674315387718,2.0006891117659458
SDMT_92546.csv,10.0,10.5,10.25,179.0,0.9355712451450654,0.01874320496615969,141.50693415801652,172.2693111488899,224.39067495399098,130.37291225078408,140.8004553448205,120.00774568004351,287.3849690301673,3.256844287611994
SDMT_92546.csv,10.5,11.0,10.75,224.0,0.5248511128262763,0.00626742320649124,124.1846666780145,151.18133334714804,182.5148102335195,100.53360415086411,100.02576402965738,102.17059152332389,251.18569844845626,3.5631520197421165
