File Name,File Key,Layer,Start Depth,End Depth,Depth,Measured Vs,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean),Depth_vs,Subset_Region,Subset_Geology
SCPT_125043_Raw01_result_layers_stats.csv,125043,3,6.15,7.58,6.865,139,7,1.43,0.329647181,0.009528342,0.02082576,96.56734138,117.5602417,144.6711444,100.4689927,132.6760629,87.89578032,237.3552376,3.539436977,7,8,1
SCPT_125043_Raw01_result_layers_stats.csv,125043,4,7.59,9.17,8.38,109,8.5,1.58,1.770938275,0.01682571,0.019712042,136.3226652,165.9580272,280.5070153,141.5949416,138.4594741,123.252336,270.513213,2.382154543,8.5,8,1
SCPT_125043_Raw01_result_layers_stats.csv,125043,5,9.18,10.86,10.02,126,10,1.68,1.020082839,0.013554137,0.056950295,127.7516009,155.5236881,232.3885851,128.2801583,130.4756641,117.5225248,274.0829537,2.734552362,10,8,1
SCPT_125043_Raw01_result_layers_stats.csv,125043,6,10.87,12.31,11.59,113,11.5,1.44,0.461174414,0.008464142,0.17818894,114.9855896,139.9824568,180.508075,106.6558056,114.2853035,104.9881212,265.9497033,3.263283116,11.5,8,1
SCPT_125043_Raw01_result_layers_stats.csv,125043,7,12.32,13.31,12.815,231,13,0.99,0.754942104,0.009105598,0.156229713,127.3345594,155.0159854,215.9711908,115.9751989,113.96088,116.6205595,276.433923,2.962485682,13,8,1
SCPT_125043_Raw01_result_layers_stats.csv,125043,8,13.32,15.88,14.6,246,14.5,2.56,0.499866244,0.010537098,0.353447442,126.7408431,154.2932003,193.8617649,110.8999218,122.2646989,115.3114604,290.21783,3.351524329,14.5,8,1
SCPT_125043_Raw01_result_layers_stats.csv,125043,9,15.89,17.02,16.455,569,16,1.13,2.082019859,0.060994396,0.456738839,185.1952047,225.4550318,326.4703214,176.9811064,229.1665429,169.4202697,379.9317779,2.794646404,16,8,1
SCPT_125043_Raw01_result_layers_stats.csv,125043,10,17.03,18.52,17.775,569,16,1.49,10.03216254,0.394793622,0.132086428,292.8115497,356.4662344,584.9440165,302.1800165,519.8623779,253.4711817,499.6517399,2.379973808,16,8,1
SCPT_125043_Raw01_result_layers_stats.csv,125043,11,18.53,20,19.265,569,16,1.47,8.248771757,0.235756795,0.310703857,272.7140053,331.9996587,547.9745379,266.0535213,390.0008375,241.4507145,476.1907057,2.366167328,16,8,1
SCPT_126232_Raw01_result_layers_stats.csv,126232,1,6.17,7.37,6.77,184.3,7,1.2,4.578348226,0.007885549,0.000236164,143.8790328,175.1570834,393.0965922,145.1439454,103.1615192,125.0660749,233.8996093,1.674596696,7,6,1
SCPT_126232_Raw01_result_layers_stats.csv,126232,2,7.38,8.41,7.895,210.8,8,1.03,2.23069687,0.005042344,0.000478151,131.0901585,159.588019,303.2902011,127.2818045,91.94958192,113.4196367,228.2606166,2.018238981,8,6,1
SCPT_126232_Raw01_result_layers_stats.csv,126232,3,8.42,9.91,9.165,149.3,9,1.49,0.760135624,0.002315369,,117.1331176,142.5968388,203.7783898,97.59207453,87.91043972,94.69971547,212.0994246,2.840991751,9,6,1
SCPT_126232_Raw01_result_layers_stats.csv,126232,4,9.92,11.57,10.745,120.2,11,1.65,0.559588595,0.005275824,0.005432951,113.8352223,138.5820098,184.6000611,101.7669886,100.0613676,101.7335391,245.9151087,3.054230709,11,6,1
SCPT_126232_Raw01_result_layers_stats.csv,126232,5,11.58,12.57,12.075,135.5,12,0.99,3.511746776,0.014295905,0.016766777,163.7068164,199.2952547,376.3490749,153.5038756,124.3069442,148.5887189,292.0519939,2.024624292,12,6,1
