Depth,qc,fs_corrected,u
8.000054,2.3687,0.156,-0.0762
8.010054,2.3698,0.1682,-0.0722
8.020054,2.9299,0.1868,-0.0666
8.030055,4.2663,0.2035,-0.0628
8.040055,4.2663,0.2191,-0.0628
8.050055,6.522,0.2288,-0.0557
8.060055,6.8928,0.234,-0.0583
8.070055,6.8774,0.2334,-0.06
8.080056,6.8774,0.2327,-0.06
8.090056,6.3521,0.2276,-0.0603
8.100056,6.0392,0.2157,-0.0606
8.110056,6.0392,0.1947,-0.0606
8.120057,5.2242,0.18,-0.0626
8.130057,4.7221,0.1696,-0.063
8.140057,3.9612,0.17,-0.0643
8.150057,3.8231,0.1703,-0.0642
8.160058,3.829,0.1714,-0.0641
8.170058,3.835,0.1799,-0.0638
8.180058,3.853,0.1799,-0.062
8.190058,4.2084,0.233,-0.0583
8.200058,5.0195,0.2578,-0.0519
8.210059,5.8963,0.2578,-0.0461
8.220059,6.8581,0.2846,-0.0419
8.230059,7.7657,0.2891,-0.0298
8.240059,7.9357,0.2891,-0.0256
8.25006,8.1481,0.2884,-0.0256
8.26006,7.7155,0.2877,-0.0294
8.27006,7.7155,0.273,-0.0294
8.28006,6.8542,0.2528,-0.0431
8.290061,6.1049,0.2352,-0.0467
8.300061,6.1049,0.2272,-0.0467
8.310061,4.9886,0.2178,-0.0484
8.320061,4.6642,0.2079,-0.0484
8.330061,4.6042,0.1997,-0.0484
8.340062,4.5916,0.1942,-0.0479
8.350062,4.6344,0.1916,-0.0433
8.360062,4.6772,0.192,-0.0433
8.370062,4.8882,0.1924,-0.0353
8.380063,4.838,0.1929,-0.0314
8.390063,4.6217,0.193,-0.033
8.400063,4.529,0.1924,-0.0411
8.410063,4.4981,0.1918,-0.0469
8.420063,4.4672,0.1857,-0.0485
8.430064,4.583,0.1735,-0.0503
8.440064,4.3822,0.1649,-0.0511
8.450064,3.9766,0.1546,-0.0519
8.460064,3.6754,0.1436,-0.0533
8.470065,3.405,0.1347,-0.0573
8.480065,3.405,0.125,-0.0573
8.490065,2.8217,0.125,-0.0634
8.500065,2.505,0.1048,-0.0656
8.510066,2.505,0.0916,-0.0656
8.520066,2.0492,0.0916,-0.0659
8.530066,1.7711,0.0636,-0.0656
8.540066,1.5085,0.0508,-0.0654
8.550066,1.2149,0.0408,-0.0648
8.560067,0.9137,0.0325,-0.065
8.570067,0.8596,0.025,-0.065
8.580067,0.8326,0.0186,-0.065
8.590067,0.7669,0.0186,-0.065
8.600068,0.6819,0.0136,-0.0648
8.610068,0.6819,0.0126,-0.0648
8.620068,0.6476,0.0118,-0.0628
8.630068,0.6409,0.0107,-0.0614
8.640069,0.6383,0.0094,-0.0614
8.650069,0.6543,0.0059,-0.0596
8.660069,0.6703,0.0058,-0.059
8.670069,0.7012,0.0056,-0.0583
8.680069,0.7167,0.0054,-0.0571
8.69007,0.7051,0.0054,-0.0567
8.70007,0.6974,0.0033,-0.0557
8.71007,0.6974,0.0027,-0.0557
8.72007,0.6781,0.0027,-0.0545
8.730071,0.6781,0.0026,-0.0543
8.740071,0.6703,0.0026,-0.0537
8.750071,0.6703,0.0019,-0.0529
8.760071,0.6714,0.0016,-0.0525
8.770072,0.6724,0.0015,-0.0459
8.780072,0.6744,0.0015,-0.0459
8.790072,0.7167,0.0015,-0.0449
8.800072,0.709,0.0016,-0.0449
8.810072,0.709,0.0017,-0.0447
8.820073,0.6472,0.0017,-0.0445
8.830073,0.6433,0.0018,-0.0439
8.840073,0.6472,0.0018,-0.0437
8.850073,0.6278,0.0018,-0.0435
8.860074,0.6163,0.0018,-0.0429
8.870074,0.5931,0.0018,-0.0431
8.880074,0.5622,0.0018,-0.0433
8.890074,0.5506,0.002,-0.0433
8.900074,0.5487,0.0024,-0.0433
8.910075,0.5477,0.003,-0.0433
8.920075,0.5493,0.003,-0.0431
8.930075,0.5508,0.0035,-0.0431
8.940075,0.5545,0.0039,-0.0427
8.950076,0.6394,0.0039,-0.0423
8.960076,0.6394,0.0041,-0.0423
8.970076,0.6703,0.0044,-0.0421
8.980076,0.6819,0.0047,-0.0417
8.990077,0.6742,0.0047,-0.0411
9.000077,0.6819,0.0053,-0.0411
9.010077,0.6896,0.0059,-0.0405
9.020077,0.7051,0.0061,-0.0389
9.030077,0.7321,0.0063,-0.0383
9.040078,0.7321,0.0068,-0.0383
9.050078,0.7399,0.0071,-0.0359
9.060078,0.7669,0.0073,-0.0355
9.070078,0.7862,0.0073,-0.0347
9.080079,0.7901,0.0076,-0.0343
9.090079,0.763,0.0077,-0.0345
