File Name,File Key,Depth,qc,fs,Measure Vs,Qc,Fs,u,Subset_Region,Subset_Geology,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_14526_Raw03_result.csv,14526,0.86,6.574,0.0489,245.5,6.574,0.0489,-0.0037,2,3,129.8459237,158.0732984,368.0026692,140.1332711,140.5522434,86.41487469,176.4614953,1.793782189,0.636948402,0.440238108,-0.404793244,0.560703041,0.557717688,1.044137125,0.330194252
SCPT_14526_Raw03_result.csv,14526,0.88,6.442,0.0505,245.5,6.442,0.0505,-0.0039,2,3,130.5541951,158.9355419,365.9931554,141.4477535,143.8690796,86.94731476,178.2085366,1.81476156,0.631508518,0.434798224,-0.399317685,0.551366531,0.53439323,1.037994589,0.320342529
SCPT_14526_Raw03_result.csv,14526,0.9,6.528,0.0516,245.5,6.528,0.0516,-0.0037,2,3,131.4537624,160.0306673,368.6723517,143.0503063,146.0763307,87.81637522,179.7450522,1.812452275,0.624641774,0.42793148,-0.406611367,0.540100586,0.519167649,1.028048958,0.311757477
SCPT_14526_Raw03_result.csv,14526,0.92,6.457,0.054,245.5,6.457,0.054,-0.0038,2,3,132.4972112,161.3009527,367.9345573,144.8475511,150.3531871,88.54905981,181.8040243,1.831435477,0.61673535,0.420025056,-0.404608142,0.52761513,0.49030984,1.019740201,0.30036763
SCPT_14526_Raw03_result.csv,14526,0.94,6.347,0.0505,245.5,6.347,0.0505,-0.0039,2,3,131.4598393,160.0380653,366.305793,143.7542942,146.6622167,88.3670617,181.1873981,1.823944749,0.624595547,0.427885252,-0.400171537,0.535191395,0.51516485,1.021797652,0.303765103
SCPT_14526_Raw03_result.csv,14526,0.96,6.024,0.0484,245.5,6.024,0.0484,-0.0049,2,3,130.4434673,158.8007428,359.8133469,142.6815823,145.2173801,87.90930073,181.0820586,1.844609881,0.632357015,0.435646721,-0.382288469,0.542681497,0.525065154,1.026991338,0.304346656
SCPT_14526_Raw03_result.csv,14526,0.98,5.907,0.0484,245.5,5.907,0.0484,-0.0049,2,3,130.5389242,158.9169512,357.8568961,143.1495957,146.27619,88.16529822,182.0027563,1.856629319,0.631625495,0.434915201,-0.376836228,0.53940674,0.5178004,1.024083506,0.299275116
SCPT_14526_Raw03_result.csv,14526,1,5.744,0.0478,245.5,5.744,0.0478,-0.0048,2,3,130.3063898,158.6338659,354.7607265,143.1628999,146.5640273,88.21393931,182.6011754,1.870453403,0.633408425,0.436698131,-0.368146605,0.539313805,0.515834568,1.023531955,0.295992542
SCPT_14526_Raw03_result.csv,14526,1.02,5.585,0.045,245.5,5.585,0.045,-0.0042,2,3,129.2672259,157.3687968,351.6678525,142.017622,143.5657759,87.90157302,182.0460236,1.871724033,0.641415167,0.444704872,-0.359390182,0.547345799,0.536503648,1.027079247,0.299037415
SCPT_14526_Raw03_result.csv,14526,1.04,5.423,0.0422,245.5,5.423,0.0422,-0.0042,2,3,128.1619026,156.0231858,348.4042808,140.7672206,140.4215972,87.53556269,181.3815805,1.873024451,0.650002618,0.453292324,-0.350066585,0.556189339,0.558647641,1.031251806,0.302693955
