File Name,File Key,Depth,qc,fs,Measure Vs,Qc,Fs,u,Subset_Region,Subset_Geology,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,A07H,A07P,A07T,R09,H06,MC15
SCPT_14538_Raw02_result.csv,14538,3.14,2.457,0.1385,230.5,2.457,0.1385,0.0216,2,1,151.6206171,184.5816209,287.4521718,213.3456703,372.8037636,117.198739,278.3302599,2.728333456,0.418869401,0.222159107,-0.220805625,0.077337147,-0.480801316,0.676379745
SCPT_14538_Raw02_result.csv,14538,3.16,2.239,0.1383,230.5,2.239,0.1383,0.0305,2,1,149.0610852,181.465669,277.7054526,211.7516178,377.4725702,115.8315485,278.5337787,2.784263779,0.435894673,0.239184378,-0.186310167,0.084836889,-0.493247042,0.688113895
SCPT_14538_Raw02_result.csv,14538,3.18,1.375,0.1334,230.5,1.375,0.1334,0.0349,2,1,134.7803164,164.0803851,230.8635177,200.7443249,393.6636496,107.8440241,276.6734685,3.073629601,0.536604696,0.339894401,-0.001575841,0.138218779,-0.535246001,0.759564901
SCPT_14538_Raw02_result.csv,14538,3.2,1.375,0.1236,230.5,1.375,0.1236,0.0552,2,1,134.0914916,163.2418158,231.2658685,197.7191099,376.6228727,107.3501458,274.3775293,3.049927813,0.541728522,0.345018228,-0.003317132,0.153403476,-0.490993487,0.76415498
SCPT_14538_Raw02_result.csv,14538,3.22,2.106,0.0956,230.5,2.106,0.0956,0.1629,2,1,143.0454918,174.1423379,273.1046062,194.9399488,306.5177579,111.9329024,266.6247178,2.710981079,0.477088158,0.280377864,-0.169604032,0.167559306,-0.285024829,0.722351256
SCPT_14538_Raw02_result.csv,14538,3.24,2.208,0.0975,230.5,2.208,0.0975,0.1665,2,1,144.8205034,176.3032215,278.2135673,196.4644628,307.5370646,113.0765592,267.8205121,2.690351672,0.464755794,0.2680455,-0.188138184,0.159769298,-0.288344753,0.712185758
SCPT_14538_Raw02_result.csv,14538,3.26,2.307,0.0975,230.5,2.307,0.0975,0.1558,2,1,146.1988457,177.9812035,282.9188273,197.1262587,305.3859356,113.9878475,268.3248903,2.666848721,0.45528321,0.258572916,-0.204909165,0.156406432,-0.281325477,0.704159021
SCPT_14538_Raw02_result.csv,14538,3.28,2.644,0.0902,230.5,2.644,0.0902,0.1459,2,1,148.9753696,181.3613195,297.947425,196.1020695,286.4905626,115.696053,266.3038361,2.566899311,0.436469875,0.239759581,-0.256666182,0.161615576,-0.217454733,0.689284343
SCPT_14538_Raw02_result.csv,14538,3.3,2.9,0.0825,230.5,2.9,0.0825,0.1244,2,1,150.27139,182.9390835,308.5528119,194.0216907,269.0939157,116.577755,263.8180711,2.490282734,0.427807936,0.231097642,-0.291642155,0.172280902,-0.154809585,0.681692387
SCPT_14538_Raw02_result.csv,14538,3.32,3.096,0.0751,230.5,3.096,0.0751,0.1169,2,1,150.7334148,183.5015484,316.4245031,191.4665351,253.3270069,116.9627746,261.139645,2.427972578,0.424738051,0.228027757,-0.316833814,0.18553782,-0.094430309,0.678395144
SCPT_14538_Raw02_result.csv,14538,3.34,3.238,0.0663,230.5,3.238,0.0663,0.0991,2,1,150.1293178,182.7661261,321.9084664,187.5910674,235.6535324,116.7037548,257.4188933,2.370329967,0.428753821,0.232043527,-0.334016377,0.205986442,-0.022111781,0.680612149
SCPT_14538_Raw02_result.csv,14538,3.36,3.737,0.0686,230.5,3.737,0.0686,0.0945,2,1,154.4411492,188.0153121,340.0883043,191.1368662,235.166429,119.6736039,259.2282921,2.297098416,0.40043775,0.203727456,-0.38895444,0.187261114,-0.02004261,0.655482793
SCPT_14538_Raw02_result.csv,14538,3.38,3.737,0.0777,230.5,3.737,0.0777,0.0716,2,1,156.6642287,190.7216697,340.1296065,195.841279,251.128102,121.1169529,263.8560666,2.332729588,0.386146018,0.189435724,-0.389075878,0.162946332,-0.085712313,0.64349423
SCPT_14538_Raw02_result.csv,14538,3.4,4.144,0.0818,230.5,4.144,0.0818,0.0496,2,1,160.3665014,195.2287843,353.8431317,199.5668246,254.4129235,123.6619042,266.2261778,2.288036389,0.362789033,0.166078739,-0.428602822,0.144101722,-0.098707768,0.6226996
SCPT_14538_Raw02_result.csv,14538,3.42,4.299,0.0822,230.5,4.299,0.0822,0.0355,2,1,161.5790046,196.7048752,358.9484376,200.4121272,253.7452706,124.5708287,266.8631547,2.269528754,0.355256647,0.158546352,-0.442927888,0.13987498,-0.09608003,0.615376403
SCPT_14538_Raw02_result.csv,14538,3.44,4.639,0.0842,230.5,4.639,0.0842,0.0217,2,1,164.1371025,199.8190814,369.6509984,202.6944312,254.3057659,126.4000027,268.2447023,2.232999098,0.339548793,0.142838498,-0.47230845,0.128551282,-0.098286483,0.600799359
SCPT_14538_Raw02_result.csv,14538,3.46,4.862,0.0851,230.5,4.862,0.0851,0.0024,2,1,165.7057102,201.7286906,376.4363696,203.9673556,254.0872336,127.5752668,269.1034601,2.210046445,0.330037478,0.133327184,-0.490498166,0.122290903,-0.097426785,0.591544344
SCPT_14538_Raw02_result.csv,14538,3.48,5.08,0.0871,230.5,5.08,0.0871,-0.0082,2,1,167.4446067,203.8456081,382.9535224,205.7148002,255.6903728,128.8376321,270.3989842,2.192104384,0.319598272,0.122887978,-0.507662768,0.113760118,-0.103716369,0.581697917
SCPT_14538_Raw02_result.csv,14538,3.5,5.632,0.0976,230.5,5.632,0.0976,-0.0131,2,1,172.4900374,209.9878716,398.5492763,212.3068152,268.0200481,132.2173642,275.0377779,2.164130687,0.289911382,0.093201088,-0.547580283,0.082218393,-0.150810922,0.555803595
SCPT_14538_Raw02_result.csv,14538,3.52,5.554,0.0976,230.5,5.554,0.0976,-0.024,2,1,172.3403257,209.8056139,396.594859,212.1143913,268.5021013,132.1612886,275.4061341,2.173861691,0.290779703,0.094069409,-0.542664391,0.083125152,-0.152607878,0.556227803
SCPT_14538_Raw02_result.csv,14538,3.54,5.548,0.1004,230.5,5.548,0.1004,-0.0287,2,1,173.0938057,210.7228939,396.6277254,213.3560053,272.6662942,132.6600868,276.8149702,2.183786491,0.286417185,0.089706891,-0.542747259,0.077288706,-0.167997819,0.552460744
SCPT_14538_Raw02_result.csv,14538,3.56,5.56,0.1072,230.5,5.56,0.1072,-0.0333,2,1,174.6966847,212.6742249,397.1518874,216.2816237,282.5083404,133.6342743,279.5860384,2.202374854,0.277199622,0.080489328,-0.544067933,0.06366949,-0.203457211,0.54514409
SCPT_14538_Raw02_result.csv,14538,3.58,5.532,0.109,230.5,5.532,0.109,-0.0345,2,1,175.1177732,213.1868544,396.5990837,216.9735967,285.2459739,133.9302676,280.578852,2.211392593,0.274792125,0.078081831,-0.542675043,0.06047519,-0.213101012,0.542931589
SCPT_14538_Raw02_result.csv,14538,3.6,5.406,0.1123,230.5,5.406,0.1123,-0.036,2,1,175.3275138,213.4421907,393.3279832,217.9119687,290.838717,134.0249297,282.0180719,2.234892399,0.27359513,0.076884836,-0.534392964,0.056159694,-0.232518014,0.542225038
SCPT_14538_Raw02_result.csv,14538,3.62,5.293,0.1135,230.5,5.293,0.1135,-0.0367,2,1,175.1855499,213.269365,390.3726692,218.0368924,293.3239253,133.9419246,282.7599393,2.251788145,0.274405165,0.077694871,-0.526850983,0.055586583,-0.241026683,0.542844555
SCPT_14538_Raw02_result.csv,14538,3.64,5.293,0.1132,230.5,5.293,0.1132,-0.038,2,1,175.3402675,213.4577169,390.578319,217.967425,292.8068612,134.1177731,283.056958,2.252328954,0.273522391,0.076812097,-0.527377648,0.055905238,-0.239262352,0.541532545
SCPT_14538_Raw02_result.csv,14538,3.66,5.345,0.1121,230.5,5.345,0.1121,-0.0383,2,1,175.6141891,213.7911868,392.2528248,217.7697885,290.7547723,134.4024857,283.1105234,2.244978457,0.271961381,0.075251087,-0.531655731,0.056812374,-0.232229343,0.53941194
SCPT_14538_Raw02_result.csv,14538,3.68,5.387,0.1147,230.5,5.387,0.1147,-0.039,2,1,176.5042777,214.8747729,393.6374816,218.9794594,294.0710503,135.0147588,284.3639024,2.248166116,0.26690575,0.070195456,-0.535179526,0.05127293,-0.243570543,0.534866766
SCPT_14538_Raw02_result.csv,14538,3.7,5.322,0.1159,230.5,5.322,0.1159,-0.0397,2,1,176.5953265,214.9856149,392.0200036,219.2554011,296.1695793,135.0988365,285.1140323,2.259673231,0.266390038,0.069679744,-0.531062006,0.050013597,-0.250681331,0.53424423
