File Name,,Depth,qc,fs,Qc,Fs,u,Subset_Region,Subset_Geology,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_140250_Raw01_result.csv,140250,0.5,2.7406,0.0835,2.7406,0.0835,-0.0014,7,2,115.5355913,140.6520241,249.6791743,123.1554635,176.1931719,68.49852752,163.8545351,2.48176683,82.5,-0.336780339,-0.533490633,-1.107378498,-0.400649195,-0.758782668,0.185986044,-0.68618076
SCPT_140250_Raw01_result.csv,140250,0.51,2.4646,0.0773,2.4646,0.0773,-0.0014,7,2,112.7974203,137.3185986,240.2271202,120.5795738,171.7709954,67.39888593,162.9060704,2.52428378,82.5,-0.312795176,-0.50950547,-1.068786517,-0.379511605,-0.733363874,0.202169805,-0.680375486
SCPT_140250_Raw01_result.csv,140250,0.52,2.3225,0.0722,2.3225,0.0722,-0.0013,7,2,111.1077566,135.2616167,235.2908967,118.8711165,167.5222334,66.80715291,162.1909096,2.540822462,82.5,-0.297702217,-0.494412511,-1.048024313,-0.365241559,-0.708317786,0.210988139,-0.675975802
SCPT_140250_Raw01_result.csv,140250,0.53,2.1885,0.0706,2.1885,0.0706,-0.0013,7,2,109.9612532,133.8658735,230.4432125,118.1798685,167.3536905,66.46582631,162.4288786,2.570926878,82.5,-0.287329767,-0.484040061,-1.027206172,-0.35940948,-0.707311187,0.216110368,-0.677441943
SCPT_140250_Raw01_result.csv,140250,0.54,2.083,0.0683,2.083,0.0683,-0.0009,7,2,108.8853252,132.556048,226.5562334,117.3802441,166.0806012,66.15633863,162.4382749,2.591738978,82.5,-0.277496973,-0.474207267,-1.010194892,-0.352620321,-0.699674927,0.220777585,-0.67749979
SCPT_140250_Raw01_result.csv,140250,0.55,1.9693,0.0585,1.9693,0.0585,-0.0011,7,2,106.3640435,129.4866617,222.1512643,113.9278741,154.9110201,65.11686722,159.8746793,2.581750154,82.5,-0.25406929,-0.450779584,-0.990560227,-0.322767272,-0.630052595,0.236614681,-0.661591961
SCPT_140250_Raw01_result.csv,140250,0.56,1.7907,0.0553,1.7907,0.0553,-0.0009,7,2,104.2175182,126.8735004,214.611429,112.0933414,152.6133678,64.25331936,159.3228117,2.624355404,82.5,-0.233681943,-0.430392237,-0.956030793,-0.306533636,-0.615109422,0.249964908,-0.658134113
SCPT_140250_Raw01_result.csv,140250,0.57,1.6892,0.0493,1.6892,0.0493,-0.0009,7,2,102.1977558,124.4146592,210.2482248,109.5927051,145.5062642,63.4225065,157.5981203,2.628058205,82.5,-0.214111425,-0.41082172,-0.935490562,-0.283972519,-0.567420845,0.262979503,-0.647249957
SCPT_140250_Raw01_result.csv,140250,0.58,1.6202,0.045,1.6202,0.045,-0.001,7,2,100.7598607,122.6641783,207.280517,107.8122349,140.2335061,62.87027012,156.3779345,2.628501327,82.5,-0.199941776,-0.39665207,-0.921274737,-0.267592855,-0.530510641,0.271724895,-0.639477441
SCPT_140250_Raw01_result.csv,140250,0.59,1.5633,0.0415,1.5633,0.0415,-0.001,7,2,99.5537256,121.1958399,204.8149748,106.3304205,135.8146609,62.42445645,155.3701125,2.62838852,82.5,-0.187899161,-0.384609455,-0.909308716,-0.253753127,-0.498492876,0.278841164,-0.6330118
