Depth,qc,fs,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
12.23,0.74,0.0164,0.74,0.0164,-0.0331,129.95897647518615,158.2109278828353,207.1233840281432,123.77893991114308,141.6012583771866,120.53794555542478,294.87684010748006,3.234906466701747,149.0
12.24,0.777,0.0163,0.777,0.0163,-0.0327,131.01123894902955,159.49194306838382,211.07784243621697,124.66456748545328,140.61754524962052,121.35376504811076,294.8098285661506,3.194338863740528,149.0
12.25,0.88,0.0159,0.88,0.0159,-0.0108,133.73381652053328,162.80638532934486,221.85739246500196,126.8282167549458,137.6785287302601,123.32215970014398,294.19072991328886,3.0877457015133456,149.0
12.26,0.98,0.0159,0.98,0.0159,-0.0098,136.24349802209633,165.86164976603035,231.22604933213063,128.9723847464188,136.49621918570833,125.2768110932052,294.4859257048195,3.0069097348648195,149.0
12.27,1.065,0.0159,1.065,0.0159,-0.0092,138.2240922126222,168.27280791101836,238.73384655537984,130.62061038875103,135.63344079419042,126.81508475324648,294.7280312273561,2.9461215275433075,149.0
12.28,1.146,0.0159,1.146,0.0159,-0.0087,139.99472804011594,170.42836457057595,245.5517567491539,132.07048118846132,134.9074068210781,128.1898133657646,294.9487327392644,2.8935981841104232,149.0
12.29,1.173,0.0175,1.173,0.0175,-0.0083,141.51444282064074,172.2784521294757,247.7750885381152,134.29768643165198,139.81002474212158,129.6774071087436,298.76115751876404,2.8982309267036217,149.0
12.3,1.153,0.0176,1.153,0.0176,-0.0084,141.18284514022648,171.87476799679746,246.16876830085184,134.05859598091448,140.29996830588826,129.44712690816135,299.0060200465154,2.9121256667750326,149.0
12.31,1.173,0.0179,1.173,0.0179,-0.0083,141.79547104706702,172.62057344860335,247.8149775033527,134.7156310573403,141.05210766162924,129.97962421480668,299.7634939509015,2.903900304480074,149.0
12.32,1.193,0.0201,1.193,0.0201,-0.0082,143.40118687601378,174.5753579360168,249.44434472924587,137.2880257138627,147.5556884844603,131.58582158888865,304.4155907689678,2.918157070313976,149.0
12.33,1.238,0.0339,1.238,0.0339,-0.0079,150.00085611173384,182.60973787515425,253.02691289385743,149.33393400801737,183.70676383972665,138.1859555744929,325.97591070555944,3.0165123530972995,149.0
12.34,1.38,0.0386,1.38,0.0386,-0.0069,154.50148114008374,188.0887596487976,263.7908235533465,154.73489171796797,192.69938446967245,141.9164608703042,331.8592639900946,2.97208063330698,149.0
12.35,1.522,0.0396,1.522,0.0396,-0.0067,157.56994326477513,191.8242787571176,273.88103549829617,157.42390074028603,193.1162888629136,144.27053676332713,333.27423351555217,2.91027115498608,149.0
12.36,1.622,0.0399,1.622,0.0399,-0.0065,159.4770355874888,194.1459563673777,280.6507711478976,158.9624494021433,192.63091195417144,145.7226400062535,333.82686290288626,2.8683413878826114,149.0
12.37,1.676,0.04,1.676,0.04,-0.0061,160.45854665585637,195.3408394071295,284.2142583152312,159.72742418121658,192.2728945341597,146.4748415384533,334.0847993763047,2.846633127844769,149.0
12.38,1.791,0.0391,1.791,0.0391,-0.0056,162.04785554499026,197.2756502286838,291.545687792204,160.58057395510644,189.2132002315364,147.63543141104387,333.32966382398416,2.7956054132970216,149.0
12.39,1.968,0.0383,1.968,0.0383,-0.0056,164.42992285541212,200.17555825876255,302.2632023197899,162.0910943467037,185.9772158071541,149.42964268483,332.73495099814465,2.726717081698564,149.0
12.4,2.222,0.0381,2.222,0.0381,0.0467,167.88899400624405,204.3866013989058,317.1826993491016,164.68747560131527,183.61736133681904,152.03268598848464,332.87531820155243,2.641323230396189,149.0
12.41,2.476,0.0381,2.476,0.0381,0.0453,170.90157637053116,208.0540929728205,330.5332864488037,167.0406193766488,182.0229829806456,154.45545226114518,333.2099931849963,2.570281929548789,149.0
12.42,2.614,0.0381,2.614,0.0381,0.0438,172.41946908004843,209.90196235831985,337.4422431321253,168.22690673263915,181.2409102563016,155.70135914595323,333.4116933961435,2.5351102583501985,149.0
12.43,2.641,0.0377,2.641,0.0377,0.0438,172.5745274700616,210.09072909398805,338.7922498815982,168.1829150804279,180.26684581441324,155.8302540191842,333.04767994628816,2.526100243865467,149.0
12.44,2.633,0.0374,2.633,0.0374,0.0438,172.40507808220724,209.8844428826871,338.42802941621954,167.91274160153384,179.68415494968647,155.6937415279052,332.7621765418027,2.526411789111008,149.0
12.45,2.641,0.0368,2.641,0.0368,0.0438,172.27741420015752,209.7290259828005,338.84617771008703,167.56917344262115,178.39407043501055,155.5875784125919,332.1382582846338,2.5207808424631986,149.0
12.46,2.691,0.0352,2.691,0.0352,0.0444,172.14939025419142,209.57317074423304,341.3075835455496,166.8662196811425,174.79566670484502,155.46851572379964,330.33738591967176,2.498094504147461,149.0
12.47,2.745,0.031,2.745,0.031,0.045,170.81897701904185,207.9535372405727,343.9325222074542,164.21009055573245,165.53744542403842,154.31275178327823,325.03954525317937,2.455464116922231,149.0
12.48,2.768,0.0297,2.768,0.0297,0.0457,170.4425197223872,207.49524140116705,345.0608147053793,163.3850345727966,162.5720796833491,153.984206494651,323.3198829849735,2.440405439100703,149.0
