File Name,File Key,d,End Depth,Measured Vs,Subset_Region,Subset_Geology,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
SCPT,196093,14.5,15,266,1,1,2.188863315,0.067101337,188.6314884,229.6383337,322.0725,177.5492825,227.6316512,166.842028,374.2952293,2.93750327
SCPT,196093,15,15.5,257,1,1,2.97165293,0.072794033,201.6873558,245.5324331,362.8321151,187.5191126,229.9790542,177.1689098,382.3479,2.759478029
SCPT,196093,15.5,16,246,1,1,2.832635389,0.075508776,202.3670374,246.3598716,357.3004607,186.8797993,233.5688887,178.0769286,387.184632,2.816187082
SCPT,196093,16,16.5,252,1,1,3.252596429,0.082555789,210.1017629,255.7760592,377.7056611,193.3485876,240.6344561,184.6053704,395.2166116,2.753302283
SCPT,196093,16.5,17,256,1,1,3.015479551,0.077560973,208.0921378,253.3295591,368.0176712,188.8208781,233.7789597,183.1981658,394.8203036,2.803881357
SCPT,196093,17,17.5,266,1,1,3.633920843,0.090401322,219.1069284,266.7388694,396.1851501,198.551342,246.7937349,192.1598,406.3321603,2.727113107
SCPT,196093,17.5,18,256,1,1,3.181552556,0.086884697,215.2153544,262.0013011,377.7588315,193.0824174,243.4187655,189.3953374,406.7752379,2.82049963
SCPT,196093,18,18.5,254,1,1,3.688738684,0.085784836,221.6654013,269.853532,400.7539309,196.8981089,239.244922,194.7670702,409.4152182,2.722731829
SCPT,196093,18.5,19,266,1,1,4.392902107,0.093823433,231.1076334,281.3484232,429.1680286,204.9650146,246.3437806,202.7376732,417.5931339,2.635485079
SCPT,196093,19,19.5,259,1,1,4.213886723,0.090988213,230.6931765,280.843867,423.6210079,202.3034843,242.3719163,202.4906185,418.5812975,2.667721511
SCPT,196093,19.5,20,260,1,1,4.491892959,0.093059974,234.9522401,286.0288141,435.0273941,204.7630181,243.3004899,206.2095807,422.7412575,2.639396277
SCPT,196093,20,20.5,266,1,1,3.896434518,0.099068195,232.814228,283.4260167,413.2894226,201.6641891,250.8150404,204.49832,428.4476388,2.76780187
