File Name,,Depth,qc,fs,Measure Vs,Qc,Fs,u,Subset_Region,Subset_Geology,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_140250_Raw01_result.csv,140250,1.89,1.7215,0.0108,82.5,1.7215,0.0108,-0.0814,7,2,103.9331451,126.527307,237.647016,118.9731418,103.6406854,78.23822485,175.224727,2.264578856,-0.230949563,-0.427659857,-1.057988153,-0.366099475,-0.228131676,0.053039956,-0.753271011
SCPT_140250_Raw01_result.csv,140250,1.9,1.7561,0.0109,82.5,1.7561,0.0109,-0.0806,7,2,104.4042128,127.1007808,239.6098658,119.5640919,104.0037418,78.63806425,175.6950499,2.254427212,-0.235471734,-0.432182028,-1.066213748,-0.371054268,-0.231628584,0.047942433,-0.755951528
SCPT_140250_Raw01_result.csv,140250,1.91,1.7907,0.0117,82.5,1.7907,0.0117,-0.0796,7,2,105.3929761,128.3044927,241.5534559,121.0910877,106.68714,79.44010576,177.5815034,2.256798401,-0.2448977,-0.441607995,-1.074292505,-0.38374476,-0.257102333,0.037794942,-0.766631384
SCPT_140250_Raw01_result.csv,140250,1.92,1.9531,0.0136,82.5,1.9531,0.0136,-0.0787,7,2,108.2218644,131.7483566,249.9032467,125.0401027,112.3612807,81.56871471,181.4455768,2.235212652,-0.271385126,-0.46809542,-1.108275536,-0.415836214,-0.308921107,0.011352503,-0.788157463
SCPT_140250_Raw01_result.csv,140250,1.93,2.1155,0.0168,82.5,2.1155,0.0168,-0.0775,7,2,111.6468242,135.9178729,257.8472538,130.1552135,121.3976326,84.09359163,186.8546963,2.231995091,-0.30254224,-0.499252534,-1.139569077,-0.455929395,-0.386273084,-0.019132071,-0.817532996
SCPT_140250_Raw01_result.csv,140250,1.94,2.0505,0.0214,82.5,2.0505,0.0214,-0.0767,7,2,113.6849643,138.399087,254.9076591,134.4119011,134.4004318,85.5379533,193.0345937,2.306219752,-0.320632859,-0.517343153,-1.128103065,-0.488110681,-0.488025347,-0.036161882,-0.850071122
SCPT_140250_Raw01_result.csv,140250,1.95,2.0534,0.0242,82.5,2.0534,0.0242,-0.0761,7,2,115.1062938,140.1294012,255.1816014,137.1189725,141.7880894,86.5566247,196.4024106,2.334724003,-0.333057702,-0.529767996,-1.129177161,-0.508050668,-0.541535322,-0.048000527,-0.867367377
SCPT_140250_Raw01_result.csv,140250,1.96,2.0563,0.0266,82.5,2.0563,0.0266,-0.0755,7,2,116.2497109,141.5213871,255.4549598,139.3315808,147.9315267,87.38052288,199.0911679,2.357016868,-0.342942264,-0.539652558,-1.130247818,-0.524058273,-0.583951216,-0.057474114,-0.880964556
SCPT_140250_Raw01_result.csv,140250,1.97,2.0688,0.0272,82.5,2.0688,0.0272,-0.0749,7,2,116.6872429,142.0540348,256.1856668,140.0867588,149.5024337,87.74292703,199.9355331,2.358808684,-0.346698924,-0.543409219,-1.133104149,-0.529463643,-0.594514378,-0.061612962,-0.885196687
SCPT_140250_Raw01_result.csv,140250,1.98,2.1479,0.027,82.5,2.1479,0.027,-0.0743,7,2,117.3698138,142.8849907,260.0450564,140.721065,148.7337122,88.28846429,200.0553831,2.333755387,-0.352531458,-0.549241752,-1.148056616,-0.533981375,-0.589359247,-0.067811164,-0.88579595
SCPT_140250_Raw01_result.csv,140250,1.99,2.4118,0.0267,82.5,2.4118,0.0267,-0.0728,7,2,119.4060607,145.3639,272.0382543,142.6151036,146.8031083,89.81658924,200.19138,2.259397746,-0.369731666,-0.56644196,-1.193144404,-0.547351125,-0.576293996,-0.0849714,-0.886475515
SCPT_140250_Raw01_result.csv,140250,2,2.6554,0.0261,139.1,2.6554,0.0261,-0.0722,7,2,120.8899185,147.1703356,282.4253574,143.9425432,144.4350916,91.02486361,199.9963971,2.194679417,0.140312732,-0.056397563,-0.708221195,-0.034221115,-0.037637115,0.424060403,-0.363106253
SCPT_140250_Raw01_result.csv,140250,2.01,2.8584,0.0206,139.1,2.8584,0.0206,-0.0716,7,2,119.3571526,145.3043596,290.6747403,140.4137538,130.3156815,90.33145773,194.288192,2.094434065,0.153072819,-0.043637476,-0.737011812,-0.00940035,0.065233273,0.43170733,-0.334149484
SCPT_140250_Raw01_result.csv,140250,2.02,3.0979,0.0161,139.1,3.0979,0.0161,-0.0714,7,2,117.8396595,143.4569767,299.9388992,137.3173084,118.091213,89.65732068,188.5102262,1.992845932,0.165868217,-0.030842078,-0.768385686,0.012898731,0.163735782,0.439198244,-0.303959157
SCPT_140250_Raw01_result.csv,140250,2.03,3.3455,0.0136,139.1,3.3455,0.0136,-0.0712,7,2,117.1619748,142.6319693,309.0703708,135.9686068,111.0043395,89.51747835,184.7554774,1.913854946,0.171635722,-0.025074572,-0.798375889,0.022769072,0.225623804,0.440759204,-0.283840108
SCPT_140250_Raw01_result.csv,140250,2.04,3.581,0.012,139.1,3.581,0.012,-0.0724,7,2,116.8336137,142.2322254,317.3860794,135.4083116,106.4476563,89.58672804,182.0913777,1.851179624,0.174442281,-0.022268013,-0.82492585,0.026898355,0.267539725,0.439985915,-0.269315537
SCPT_140250_Raw01_result.csv,140250,2.05,3.6865,0.0105,139.1,3.6865,0.0105,-0.0755,7,2,115.95738,141.1655061,321.0752343,134.168006,102.2823848,89.09155897,179.2177565,1.811852365,0.181970389,-0.014739905,-0.836482372,0.036100308,0.307455632,0.445528506,-0.253408485
SCPT_140250_Raw01_result.csv,140250,2.06,3.7109,0.0091,139.1,3.7109,0.0091,-0.0761,7,2,114.799938,139.7564462,322.0398462,132.5459987,98.37447026,88.24261265,176.1398774,1.785740829,0.192002155,-0.004708139,-0.839482185,0.048263354,0.346411777,0.455103116,-0.236085338
SCPT_140250_Raw01_result.csv,140250,2.07,3.6337,0.0085,139.1,3.6337,0.0085,-0.0761,7,2,114.0221269,138.8095458,319.6070148,131.4281935,96.71273059,87.59707725,174.7717747,1.787578459,0.198800573,0.002090279,-0.831899063,0.056732453,0.363448055,0.462445466,-0.228287879
SCPT_140250_Raw01_result.csv,140250,2.08,3.4957,0.0083,139.1,3.4957,0.0083,-0.076,7,2,113.4035588,138.0565064,315.0467111,130.5113375,96.18127568,87.05462119,174.3942188,1.805932633,0.204240325,0.007530031,-0.817527818,0.063732999,0.3689584,0.468657348,-0.226125263
SCPT_140250_Raw01_result.csv,140250,2.09,3.4267,0.0083,139.1,3.4267,0.0083,-0.0759,7,2,113.2169664,137.8293505,312.795752,130.2534999,96.26303729,86.92088277,174.5802057,1.817183379,0.205887064,0.00917677,-0.810357329,0.065710548,0.368108683,0.470194787,-0.227191169
SCPT_140250_Raw01_result.csv,140250,2.1,3.3618,0.0092,139.1,3.3618,0.0092,-0.0753,7,2,113.9195339,138.6846499,310.6604588,131.3072337,99.07574556,87.54181091,177.1210942,1.84360738,0.199700743,0.002990449,-0.803507444,0.057653226,0.339308435,0.463076581,-0.241640548
SCPT_140250_Raw01_result.csv,140250,2.11,3.2846,0.0101,139.1,3.2846,0.0101,-0.0749,7,2,114.5266552,139.4237541,308.0514637,132.2562222,101.8996127,88.04414857,179.4679763,1.871989529,0.194385507,-0.002324787,-0.79507376,0.05045198,0.31120496,0.457354722,-0.254803688
SCPT_140250_Raw01_result.csv,140250,2.12,3.2034,0.0114,139.1,3.2034,0.0114,-0.0743,7,2,115.4129531,140.5027255,305.2539909,133.6755314,105.9143591,88.72996366,182.4995851,1.907294675,0.186676506,-0.010033788,-0.785951088,0.039777643,0.272562264,0.449595458,-0.271554801
SCPT_140250_Raw01_result.csv,140250,2.13,3.1019,0.0134,139.1,3.1019,0.0134,-0.0739,7,2,116.670751,142.0339577,301.6491342,135.7694273,111.9433844,89.62959896,186.552668,1.956052916,0.175837225,-0.020873069,-0.774071436,0.02423504,0.217199851,0.439507488,-0.293520502
SCPT_140250_Raw01_result.csv,140250,2.14,2.9964,0.0154,139.1,2.9964,0.0154,-0.0732,7,2,117.726353,143.3190385,297.8129672,137.6677225,117.8810742,90.33736971,190.1336442,2.004120055,0.16683021,-0.029880085,-0.761272564,0.010350125,0.165516829,0.431641885,-0.312534117
SCPT_140250_Raw01_result.csv,140250,2.15,2.8827,0.0172,139.1,2.8827,0.0172,-0.0728,7,2,118.4389985,144.1866069,293.5622422,139.1382895,123.2092457,90.78115344,193.0580431,2.050352209,0.160795051,-0.035915243,-0.746896587,-0.000275228,0.121309004,0.426741396,-0.327797786
SCPT_140250_Raw01_result.csv,140250,2.16,2.7244,0.0181,139.1,2.7244,0.0181,-0.0722,7,2,118.2039793,143.9004965,287.4023323,139.2527888,126.2038604,90.5445455,194.4893271,2.095448823,0.162781329,-0.033928965,-0.72568999,-0.001097807,0.09729456,0.429351154,-0.335184189
SCPT_140250_Raw01_result.csv,140250,2.17,2.5742,0.0184,139.1,2.5742,0.0184,-0.0716,7,2,117.5512592,143.1058807,281.344968,138.7206472,127.6033027,90.04632595,195.0514297,2.133445843,0.168318612,-0.028391682,-0.704388461,0.002730921,0.086266845,0.434868828,-0.338070167
SCPT_140250_Raw01_result.csv,140250,2.18,2.4605,0.0195,139.1,2.4605,0.0195,-0.0708,7,2,117.5254118,143.0744144,276.6380889,139.2189933,131.1124257,90.00962787,196.6922828,2.173887891,0.168538518,-0.028171776,-0.687517015,-0.000855086,0.059137932,0.435276458,-0.346447392
SCPT_140250_Raw01_result.csv,140250,2.19,2.3793,0.0195,139.1,2.3793,0.0195,-0.07,7,2,117.0346987,142.4770245,273.2253245,138.7825901,131.547438,89.68975654,196.8712687,2.194370224,0.172722638,-0.023987657,-0.67510372,0.00228449,0.055825567,0.438836533,-0.347356958
SCPT_140250_Raw01_result.csv,140250,2.2,2.2819,0.0196,139.1,2.2819,0.0196,-0.0688,7,2,116.4540182,141.7701091,269.0044093,138.3078004,132.3349735,89.30243354,197.1684298,2.221061909,0.177696598,-0.019013697,-0.659534672,0.00571146,0.049856713,0.44316436,-0.348865238
SCPT_140250_Raw01_result.csv,140250,2.21,2.1966,0.0195,139.1,2.1966,0.0195,-0.0675,7,2,115.8168246,140.9943951,265.2256982,137.6952595,132.5445849,88.88815438,197.2079676,2.243195264,0.183183254,-0.01352704,-0.645388056,0.01015012,0.04827402,0.447814212,-0.349065746
