Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
16.4,11.9657,0.1091,0.1329,253.29362512232044,308.357456670651,620.5222378804548,245.9076354100646,258.32675603942994,228.5109179551033,414.7717877444448,1.9245614033724745,209.0
16.42,11.8974,0.1085,0.1331,253.0646633946996,308.0787206544169,619.2495065781976,245.506838740414,257.7399719088198,228.29548621647987,414.5847989163078,1.9270791882879093,209.0
16.44,11.7134,0.1083,0.1348,252.7507580391804,307.69657500421965,615.6791779326345,244.90414156661112,257.7273538757081,227.825869935686,414.5652232676312,1.9370605115088049,209.0
16.46,11.6373,0.1075,0.1366,252.4416738761018,307.3202986317761,614.244588472939,244.4054281142471,256.9266000902678,227.5490044045532,414.2732672300247,1.9395307154071255,209.0
16.48,11.7795,0.1077,0.1384,252.8416397273703,307.80721358114647,617.1762803479648,244.919779191757,256.9710857871987,228.0594629947216,414.5379630451836,1.9323841131070465,209.0
16.5,12.0433,0.1089,0.1387,253.7594224660732,308.9245143065239,622.4716540577335,246.14393470149776,257.9762481365335,229.07570204436485,415.3309872417367,1.921319361171777,191.0
16.52,12.1159,0.1111,0.1413,254.64675596406693,310.00474639103805,623.9917461644457,247.15414963735017,260.2836919067396,229.73232072935815,416.55845700610166,1.9233057390537576,191.0
16.54,12.0402,0.1119,0.1396,254.8365000705148,310.2357392162789,622.5673830645297,247.22499094417856,261.2320336256686,229.73906201934705,417.05548651188656,1.9298157363521125,191.0
16.56,11.8708,0.1117,0.1411,254.55162971881683,309.8889405272553,619.309635312508,246.66813183194856,261.20305884037737,229.3137661617887,417.0422777824573,1.9388945207631465,191.0
16.58,11.6852,0.1102,0.1409,253.8310259806452,309.01168380252454,615.6831788708414,245.596932870929,259.7788853698531,228.61409306245767,416.3885276795244,1.9457346107890348,191.0
16.6,11.5042,0.1082,0.1422,252.95559969858783,307.94594745915043,612.1251879957074,244.35322448562647,257.7911660545906,227.83060272429495,415.4769962016363,1.9511013819971756,191.0
